factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor1,Negative,GO_Biological_Process,GO:0006629,lipid metabolic process,34/85,145/828,1.6029752591878e-07,2.84928852320631e-05,34,CYP1A1/CYP8B1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/UGT2B10/SRD5A2/ETNK2/UGT1A9/NR1I2/CYP2A6/AKR1C4/APOF/CYP2A7/TSKU/ENPP7/CYP7A1/ACSM5/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/RDH16/ABCB4/ALDH3A1/CYP1A2/MOGAT2/ADH4/CYP17A1/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0042180,cellular ketone metabolic process,15/85,36/828,4.24749660369696e-07,6.5816354864891e-05,15,UGT1A4/AKR1C2/ACADL/ABCB11/SRD5A2/UGT1A9/AKR1C4/CYP7A1/AADAT/CYP2B6/UGT1A6/UGT1A1/ADH4/CYP17A1/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0032787,monocarboxylic acid metabolic process,27/85,103/828,4.6284356445071e-07,6.5816354864891e-05,27,CYP1A1/CYP8B1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/GLYAT/UGT2B10/UGT1A9/CYP2A6/AKR1C4/CYP2A7/CYP7A1/ALDOC/ACSM5/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/CYP1A2/ADH4/AGXT2/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0009410,response to xenobiotic stimulus,20/85,62/828,5.66036597441097e-07,7.31730946873854e-05,20,CYP1A1/BCHE/GSTA1/ABCB11/GSTA2/GLYAT/SRD5A2/SLC1A2/UGT1A9/NR1I2/CYP2A6/CYP2A7/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/ALDH3A1/CYP1A2/SULT1B1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006631,fatty acid metabolic process,19/85,58/828,8.83074367785121e-07,0.000104644312582537,19,CYP1A1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/UGT1A9/CYP2A6/AKR1C4/CYP2A7/CYP7A1/ACSM5/CYP2B6/UGT1A6/UGT1A1/ABCC9/CYP1A2/ADH4/SLC27A5,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0042445,hormone metabolic process,16/85,49/828,8.03445135921948e-06,0.000838649879192791,16,CYP1A1/BCHE/AKR1C2/UGT2B10/SRD5A2/UGT1A9/MME/AKR1C4/UGT2B7/UGT1A1/RDH16/CYP1A2/SULT1B1/DIO1/ADH4/CYP17A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006063,uronic acid metabolic process,7/85,10/828,8.84651771300413e-06,0.000838649879192791,7,UGT1A4/UGT2B10/UGT1A9/UGT2B7/UGT1A6/UGT1A1/DCXR,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0019585,glucuronate metabolic process,7/85,10/828,8.84651771300413e-06,0.000838649879192791,7,UGT1A4/UGT2B10/UGT1A9/UGT2B7/UGT1A6/UGT1A1/DCXR,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:1901615,organic hydroxy compound metabolic process,19/85,67/828,1.05628293969089e-05,0.000938771462650283,19,CYP1A1/CYP8B1/UGT1A4/AKR1C2/ACADL/ABCB11/SRD5A2/AKR1C4/APOF/TSKU/CYP7A1/RDH16/CYP1A2/SULT1B1/MOGAT2/DIO1/ADH4/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0044255,cellular lipid metabolic process,24/85,102/828,2.09009372346099e-05,0.00174830192633031,24,CYP1A1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/ETNK2/UGT1A9/CYP2A6/AKR1C4/CYP2A7/ENPP7/CYP7A1/ACSM5/CYP2B6/UGT1A6/UGT1A1/ABCC9/RDH16/CYP1A2/MOGAT2/ADH4/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0042221,response to chemical,45/85,275/828,5.87962109761694e-05,0.00464490066711738,45,CYP1A1/CYP8B1/BCHE/GBP7/STEAP2/GSTA1/AKR1C2/NUGGC/ABCB11/GSTA2/GLYAT/SRD5A2/SLC1A2/UGT1A9/ADRB2/NR1I2/MME/CYP2A6/AKR1C4/CYP2A7/CYP7A1/CXCL10/DSG1/ILDR2/CYP2B6/UGT2B7/UGT1A6/CCL16/UGT1A1/ABCC9/SP5/ABCB4/AQP9/SCN9A/GREM2/ALDH3A1/CYP1A2/SULT1B1/ADH4/AR/SLC17A3/TRIM16/UBXN10/PCOLCE2/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0052695,cellular glucuronidation,6/85,9/828,6.46007034193709e-05,0.00475601704608616,6,UGT1A4/UGT2B10/UGT1A9/UGT2B7/UGT1A6/UGT1A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0044238,primary metabolic process,64/85,461/828,6.68919415764579e-05,0.00475601704608616,64,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/BCHE/GSTA1/AKR1C2/ACADL/NUGGC/ABCB11/GLYAT/UGT2B10/SRD5A2/ETNK2/UGT1A9/PRODH2/ADRB2/FETUB/NR1I2/MME/CYP2A6/RBM24/AKR1C4/APOF/CYP2A7/TSKU/ENPP7/CYP7A1/CXCL10/ILDR2/ALDOC/MLIP/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/TRIM55/ABCC9/DCXR/SP5/CDKN2A/RDH16/ABCB4/ALDH3A1/TTLL7/CYP1A2/SULT1B1/AASS/MOGAT2/DIO1/NR1I3/ADH4/AR/TRIM16/NECAB2/CYP17A1/UBXN10/AGXT2/SLC39A5/ARID3C/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0010817,regulation of hormone levels,18/85,72/828,0.000125805283999979,0.00851881494514142,18,CYP1A1/BCHE/AKR1C2/UGT2B10/SRD5A2/UGT1A9/MME/AKR1C4/ILDR2/UGT2B7/UGT1A1/RDH16/MYRIP/CYP1A2/SULT1B1/DIO1/ADH4/CYP17A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0045922,negative regulation of fatty acid metabolic process,6/85,10/828,0.000148231981978921,0.00958117628972846,6,UGT1A4/ACADL/UGT1A9/CYP7A1/UGT1A6/UGT1A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0120254,olefinic compound metabolic process,12/85,39/828,0.000246754876193198,0.0145631936742772,12,CYP1A1/GSTA1/AKR1C2/SRD5A2/CYP2A6/AKR1C4/CYP2A7/CYP2B6/RDH16/CYP1A2/ADH4/CYP17A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0044237,cellular metabolic process,61/85,444/828,0.000248537622424448,0.0145631936742772,61,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/BCHE/GBP7/GSTA1/AKR1C2/ACADL/ABCB11/GSTA2/GLYAT/UGT2B10/SRD5A2/SLC1A2/ETNK2/UGT1A9/PRODH2/ADRB2/NR1I2/MME/CYP2A6/RBM24/AKR1C4/CYP2A7/TSKU/ENPP7/CYP7A1/CXCL10/ILDR2/ALDOC/MLIP/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/SP5/CDKN2A/TMEM150B/RDH16/ALDH3A1/CYP1A2/SULT1B1/AASS/MOGAT2/DIO1/NR1I3/ADH4/AR/TRIM16/NECAB2/CYP17A1/AGXT2/SLC39A5/ARID3C/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0044248,cellular catabolic process,21/85,96/828,0.000256033644062539,0.0145631936742772,21,CYP1A1/ALDH1L1/ACADL/ABCB11/PRODH2/ADRB2/NR1I2/MME/CYP2A6/ENPP7/AADAT/CYP2B6/UGT1A1/DCXR/CDKN2A/TMEM150B/CYP1A2/AASS/ADH4/AGXT2/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0019748,secondary metabolic process,6/85,11/828,0.000299340820256447,0.0163716402463334,6,CYP1A1/AKR1C2/CYP2A6/AKR1C4/CYP2A7/CYP1A2,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006066,alcohol metabolic process,13/85,48/828,0.000549267619791979,0.027911114235796,13,CYP1A1/UGT1A4/AKR1C2/ACADL/AKR1C4/APOF/TSKU/CYP7A1/RDH16/CYP1A2/SULT1B1/MOGAT2/ADH4,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0042178,xenobiotic catabolic process,6/85,12/828,0.000549585934319472,0.027911114235796,6,CYP1A1/NR1I2/CYP2A6/CYP2B6/UGT1A1/CYP1A2,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0019217,regulation of fatty acid metabolic process,7/85,17/828,0.000782292270402077,0.0380708111347141,7,UGT1A4/ACADL/ABCB11/UGT1A9/CYP7A1/UGT1A6/UGT1A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0014070,response to organic cyclic compound,16/85,69/828,0.000817623508764293,0.0380708111347141,16,CYP1A1/CYP8B1/BCHE/ABCB11/SRD5A2/SLC1A2/CYP7A1/CXCL10/DSG1/UGT1A1/ABCC9/SP5/ABCB4/AQP9/AR/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0009056,catabolic process,29/85,165/828,0.000831348527227133,0.0380708111347141,29,CYP1A1/ALDH1L1/UGT1A4/BCHE/ACADL/ABCB11/SRD5A2/PRODH2/ADRB2/NR1I2/MME/CYP2A6/RBM24/ENPP7/CYP7A1/ALDOC/AADAT/CYP2B6/UGT1A1/DCXR/CDKN2A/TMEM150B/CYP1A2/SULT1B1/AASS/ADH4/UBXN10/AGXT2/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0070887,cellular response to chemical stimulus,33/85,198/828,0.000864059684175378,0.0380708111347141,33,CYP1A1/BCHE/GSTA1/AKR1C2/NUGGC/ABCB11/GSTA2/GLYAT/SLC1A2/UGT1A9/ADRB2/NR1I2/CYP2A6/AKR1C4/CYP2A7/CYP7A1/CXCL10/CYP2B6/UGT2B7/UGT1A6/CCL16/UGT1A1/ABCC9/SP5/ABCB4/AQP9/ALDH3A1/CYP1A2/SULT1B1/ADH4/AR/TRIM16/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006699,bile acid biosynthetic process,5/85,9/828,0.000920775917672767,0.0380708111347141,5,CYP8B1/ABCB11/AKR1C4/CYP7A1/SLC27A5,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0015721,bile acid and bile salt transport,5/85,9/828,0.000920775917672767,0.0380708111347141,5,ABCB11/AKR1C4/CYP7A1/AQP9/SLC27A5,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0045833,negative regulation of lipid metabolic process,6/85,13/828,0.000937045281093525,0.0380708111347141,6,UGT1A4/ACADL/UGT1A9/CYP7A1/UGT1A6/UGT1A1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006778,porphyrin-containing compound metabolic process,4/85,6/828,0.00132636982925046,0.0523916082553931,4,CYP1A1/UGT1A4/UGT1A1/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0033559,unsaturated fatty acid metabolic process,8/85,24/828,0.00165976351337471,0.0621865503601044,8,CYP1A1/GSTA1/AKR1C2/CYP2A6/AKR1C4/CYP2A7/CYP2B6/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0008206,bile acid metabolic process,5/85,10/828,0.00169331985336661,0.0621865503601044,5,CYP8B1/ABCB11/AKR1C4/CYP7A1/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0010565,regulation of cellular ketone metabolic process,7/85,19/828,0.00170553830101552,0.0621865503601044,7,UGT1A4/ACADL/ABCB11/UGT1A9/CYP7A1/UGT1A6/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0044282,small molecule catabolic process,12/85,48/828,0.00200039644018308,0.0711140934485085,12,CYP1A1/ALDH1L1/ACADL/ABCB11/PRODH2/CYP7A1/AADAT/DCXR/SULT1B1/AASS/ADH4/AGXT2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0001676,long-chain fatty acid metabolic process,8/85,25/828,0.00223783859332129,0.0740048018535553,8,CYP1A1/GSTA1/ACADL/CYP2A6/CYP2A7/CYP2B6/CYP1A2/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006690,icosanoid metabolic process,8/85,25/828,0.00223783859332129,0.0740048018535553,8,CYP1A1/GSTA1/AKR1C2/CYP2A6/AKR1C4/CYP2A7/CYP2B6/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006694,steroid biosynthetic process,8/85,25/828,0.00223783859332129,0.0740048018535553,8,CYP1A1/CYP8B1/ABCB11/SRD5A2/AKR1C4/CYP7A1/CYP17A1/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006396,RNA processing,4/85,7/828,0.00285274879482892,0.0863779996962315,4,RBM24/ILDR2/CDKN2A/SLC39A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0033013,tetrapyrrole metabolic process,4/85,7/828,0.00285274879482892,0.0863779996962315,4,CYP1A1/UGT1A4/UGT1A1/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0045912,negative regulation of carbohydrate metabolic process,4/85,7/828,0.00285274879482892,0.0863779996962315,4,UGT1A4/UGT1A9/UGT1A6/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019373,epoxygenase P450 pathway,5/85,11/828,0.00285496904762509,0.0863779996962315,5,CYP1A1/CYP2A6/CYP2A7/CYP2B6/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006575,cellular modified amino acid metabolic process,8/85,26/828,0.00296373195855101,0.0878005592720737,8,ALDH1L1/GSTA1/ACADL/GSTA2/SLC1A2/SULT1B1/DIO1/AGXT2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0071407,cellular response to organic cyclic compound,10/85,38/828,0.00324623668112254,0.0923681909498607,10,CYP1A1/SLC1A2/CYP7A1/UGT1A1/ABCC9/SP5/ABCB4/AQP9/AR/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0001523,retinoid metabolic process,7/85,21/828,0.00331278321972074,0.0923681909498607,7,CYP1A1/UGT1A9/AKR1C4/UGT1A1/RDH16/CYP1A2/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0016101,diterpenoid metabolic process,7/85,21/828,0.00331278321972074,0.0923681909498607,7,CYP1A1/UGT1A9/AKR1C4/UGT1A1/RDH16/CYP1A2/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0062014,negative regulation of small molecule metabolic process,6/85,16/828,0.00338581650338943,0.0925890589965341,6,UGT1A4/ACADL/UGT1A9/CYP7A1/UGT1A6/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0034308,primary alcohol metabolic process,7/85,23/828,0.00588045271888211,0.157773655966988,7,CYP1A1/AKR1C2/AKR1C4/RDH16/CYP1A2/SULT1B1/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0008610,lipid biosynthetic process,14/85,69/828,0.00690903380122582,0.181937890098947,14,CYP1A1/CYP8B1/ACADL/ABCB11/SRD5A2/ETNK2/AKR1C4/ENPP7/CYP7A1/ACSM5/CYP1A2/MOGAT2/CYP17A1/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006720,isoprenoid metabolic process,7/85,24/828,0.00761838356820872,0.193452525607014,7,CYP1A1/UGT1A9/AKR1C4/UGT1A1/RDH16/CYP1A2/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006721,terpenoid metabolic process,7/85,24/828,0.00761838356820872,0.193452525607014,7,CYP1A1/UGT1A9/AKR1C4/UGT1A1/RDH16/CYP1A2/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0008209,androgen metabolic process,4/85,9/828,0.00873205348968833,0.210143874045603,4,SRD5A2/AKR1C4/UGT2B7/CYP17A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019218,regulation of steroid metabolic process,4/85,9/828,0.00873205348968833,0.210143874045603,4,ACADL/ABCB11/CYP7A1/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0008380,RNA splicing,3/85,5/828,0.0089768790347718,0.210143874045603,3,RBM24/ILDR2/SLC39A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0042448,progesterone metabolic process,3/85,5/828,0.0089768790347718,0.210143874045603,3,AKR1C2/AKR1C4/CYP17A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0072521,purine-containing compound metabolic process,11/85,50/828,0.00901461063064822,0.210143874045603,11,ALDH1L1/GLYAT/ALDOC/ACSM5/AADAT/ABCC9/DCXR/SULT1B1/AASS/SLC17A3/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0072330,monocarboxylic acid biosynthetic process,9/85,38/828,0.0110830412241548,0.254194913237873,9,CYP1A1/CYP8B1/ACADL/ABCB11/AKR1C4/CYP7A1/ACSM5/CYP1A2/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019216,regulation of lipid metabolic process,8/85,32/828,0.0118665816949752,0.264015785927041,8,UGT1A4/ACADL/ABCB11/UGT1A9/ENPP7/CYP7A1/UGT1A6/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006753,nucleoside phosphate metabolic process,10/85,45/828,0.0118825670178134,0.264015785927041,10,ALDH1L1/GLYAT/ALDOC/ACSM5/AADAT/ABCC9/DCXR/SULT1B1/AASS/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0009058,biosynthetic process,43/85,320/828,0.0122898922862243,0.268865028169399,43,CYP1A1/CYP8B1/ALDH1L1/BCHE/GBP7/GSTA1/ACADL/ABCB11/SRD5A2/SLC1A2/ETNK2/ADRB2/NR1I2/MME/RBM24/AKR1C4/TSKU/ENPP7/CYP7A1/CXCL10/ILDR2/ALDOC/MLIP/ACSM5/AADAT/ABCC9/DCXR/SP5/CDKN2A/CYP1A2/AASS/MOGAT2/DIO1/NR1I3/AR/TRIM16/NECAB2/CYP17A1/AGXT2/SLC39A5/ARID3C/SLC27A5/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:1901700,response to oxygen-containing compound,22/85,136/828,0.0127355183909488,0.274392532604987,22,CYP1A1/CYP8B1/BCHE/AKR1C2/NUGGC/ABCB11/SRD5A2/SLC1A2/ADRB2/AKR1C4/CYP7A1/CXCL10/DSG1/ILDR2/UGT1A1/ABCC9/ABCB4/AQP9/ADH4/AR/TRIM16/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0008210,estrogen metabolic process,5/85,15/828,0.0132954806151975,0.276662312312605,5,CYP1A1/UGT2B10/UGT2B7/UGT1A1/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0043627,response to estrogen,4/85,10/828,0.0134245425805695,0.276662312312605,4,ABCB11/MME/ABCC9/AR,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0046683,response to organophosphorus,4/85,10/828,0.0134245425805695,0.276662312312605,4,ABCC9/AQP9/TRIM16/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0046394,carboxylic acid biosynthetic process,11/85,53/828,0.0141451136989708,0.287347881141949,11,CYP1A1/CYP8B1/ACADL/ABCB11/AKR1C4/CYP7A1/ACSM5/CYP1A2/AASS/AGXT2/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0043603,amide metabolic process,10/85,47/828,0.016196799936657,0.299292988325277,10,BCHE/GSTA1/GSTA2/GLYAT/SLC1A2/MME/ENPP7/ACSM5/AADAT/AASS,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0016053,organic acid biosynthetic process,11/85,54/828,0.0162744898084329,0.299292988325277,11,CYP1A1/CYP8B1/ACADL/ABCB11/AKR1C4/CYP7A1/ACSM5/CYP1A2/AASS/AGXT2/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0044283,small molecule biosynthetic process,14/85,76/828,0.0166103767542242,0.299292988325277,14,CYP1A1/CYP8B1/ACADL/ABCB11/SRD5A2/AKR1C4/CYP7A1/ALDOC/ACSM5/CYP1A2/AASS/AGXT2/SLC27A5/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006692,prostanoid metabolic process,3/85,6/828,0.0166273882402932,0.299292988325277,3,GSTA1/AKR1C2/AKR1C4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006693,prostaglandin metabolic process,3/85,6/828,0.0166273882402932,0.299292988325277,3,GSTA1/AKR1C2/AKR1C4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0009791,post-embryonic development,3/85,6/828,0.0166273882402932,0.299292988325277,3,ETNK2/SCN9A/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0042440,pigment metabolic process,3/85,6/828,0.0166273882402932,0.299292988325277,3,UGT1A4/UGT1A9/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0098659,inorganic cation import across plasma membrane,3/85,6/828,0.0166273882402932,0.299292988325277,3,STEAP2/ABCC9/SLC39A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0099587,inorganic ion import across plasma membrane,3/85,6/828,0.0166273882402932,0.299292988325277,3,STEAP2/ABCC9/SLC39A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0016054,organic acid catabolic process,8/85,34/828,0.0172333796371415,0.302541553629818,8,ALDH1L1/ACADL/ABCB11/PRODH2/AADAT/DCXR/AASS/AGXT2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0046395,carboxylic acid catabolic process,8/85,34/828,0.0172333796371415,0.302541553629818,8,ALDH1L1/ACADL/ABCB11/PRODH2/AADAT/DCXR/AASS/AGXT2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019369,arachidonate metabolic process,5/85,16/828,0.0177998733932921,0.304956867051343,5,CYP1A1/CYP2A6/CYP2A7/CYP2B6/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0098739,import across plasma membrane,5/85,16/828,0.0177998733932921,0.304956867051343,5,STEAP2/SLC1A2/ABCC9/SLC39A5/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0055086,nucleobase-containing small molecule metabolic process,10/85,48/828,0.0187494099729058,0.317400725969906,10,ALDH1L1/GLYAT/ALDOC/ACSM5/AADAT/ABCC9/DCXR/SULT1B1/AASS/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0018958,phenol-containing compound metabolic process,4/85,11/828,0.0194642988851091,0.325626270760296,4,CYP1A1/SULT1B1/DIO1/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0016125,sterol metabolic process,6/85,23/828,0.0235897480822732,0.38557036520681,6,CYP8B1/ACADL/APOF/TSKU/CYP7A1/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:1902652,secondary alcohol metabolic process,6/85,23/828,0.0235897480822732,0.38557036520681,6,UGT1A4/ACADL/APOF/TSKU/CYP7A1/CYP1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0015850,organic hydroxy compound transport,7/85,30/828,0.0268123892417429,0.416682598329178,7,ABCB11/AKR1C4/TSKU/CYP7A1/ABCB4/AQP9/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006749,glutathione metabolic process,3/85,7/828,0.0269583678243913,0.416682598329178,3,GSTA1/GSTA2/SLC1A2,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0042537,benzene-containing compound metabolic process,3/85,7/828,0.0269583678243913,0.416682598329178,3,SRD5A2/AADAT/UGT1A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0042908,xenobiotic transport,3/85,7/828,0.0269583678243913,0.416682598329178,3,ABCB11/NR1I2/SLC17A3,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0046164,alcohol catabolic process,3/85,7/828,0.0269583678243913,0.416682598329178,3,CYP7A1/SULT1B1/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006790,sulfur compound metabolic process,8/85,37/828,0.028294013880862,0.432624599339632,8,GSTA1/GSTA2/GLYAT/SLC1A2/ACSM5/AADAT/SULT1B1/AASS,Exploratory
Factor1,Negative,GO_Biological_Process,GO:1901617,organic hydroxy compound biosynthetic process,6/85,25/828,0.034977552631055,0.529128508950641,6,CYP8B1/ABCB11/SRD5A2/AKR1C4/CYP7A1/SLC27A5,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0042446,hormone biosynthetic process,3/85,8/828,0.0399771637777506,0.588421248996483,3,SRD5A2/DIO1/CYP17A1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0045333,cellular respiration,3/85,8/828,0.0399771637777506,0.588421248996483,3,ABCC9/CYP1A2/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019637,organophosphate metabolic process,12/85,69/828,0.0401384396291553,0.588421248996483,12,ALDH1L1/GLYAT/ETNK2/ENPP7/ALDOC/ACSM5/AADAT/ABCC9/DCXR/SULT1B1/AASS/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0062012,regulation of small molecule metabolic process,8/85,40/828,0.0435456013383937,0.631855562277509,8,UGT1A4/ACADL/ABCB11/UGT1A9/CYP7A1/UGT1A6/UGT1A1/GPD1,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0033993,response to lipid,14/85,86/828,0.0455170238290458,0.647568146898364,14,CYP1A1/CYP8B1/BCHE/AKR1C2/NUGGC/SRD5A2/AKR1C4/CYP7A1/CXCL10/DSG1/UGT1A1/ABCB4/AR/TRIM16,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0006637,acyl-CoA metabolic process,4/85,14/828,0.0464500358534691,0.647568146898364,4,GLYAT/ACSM5/AADAT/AASS,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0019395,fatty acid oxidation,4/85,14/828,0.0464500358534691,0.647568146898364,4,ACADL/ABCB11/ABCC9/ADH4,Exploratory
Factor1,Negative,GO_Biological_Process,GO:0035383,thioester metabolic process,4/85,14/828,0.0464500358534691,0.647568146898364,4,GLYAT/ACSM5/AADAT/AASS,Exploratory
Factor1,Negative,KEGG_Pathway,hsa00980,Metabolism of xenobiotics by cytochrome P450,15/63,31/493,4.8589958525629e-07,3.02953829929327e-05,15,CYP1A1/UGT1A4/GSTA1/GSTA2/UGT2B10/UGT1A9/CYP2A6/CYP2A7/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ALDH3A1/CYP1A2/ADH4,Robust Supported
Factor1,Negative,KEGG_Pathway,hsa05207,Chemical carcinogenesis - receptor activation,14/63,28/493,7.60835550538976e-07,3.02953829929327e-05,14,CYP1A1/UGT1A4/GSTA1/GSTA2/UGT2B10/UGT1A9/ADRB2/CYP2B6/UGT2B7/UGT1A6/UGT1A1/CYP1A2/NR1I3/AR,Robust Supported
Factor1,Negative,KEGG_Pathway,hsa01100,Metabolic pathways,37/63,153/493,9.74338456074619e-07,3.02953829929327e-05,37,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/GSTA1/AKR1C2/ACADL/GSTA2/UGT2B10/SRD5A2/ETNK2/UGT1A9/PRODH2/CYP2A6/AKR1C4/CYP2A7/ENPP7/CYP7A1/ALDOC/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/DCXR/RDH16/ALDH3A1/CYP1A2/AASS/MOGAT2/ADH4/CYP17A1/ETNPPL/AGXT2/SLC27A5/GPD1,Robust Supported
